,calm_id,street,intersecti,intersec_1,spd_hump,traf_islan,spd_cush,Installed,geometry,NeighbourhoodPortion,Neighbourhood
324,840.0,Hanson Rd,Glenholme Avenue,Oakwood Avenue,2.0,0.0,0.0,2003,"LINESTRING (-79.43935620178017 43.689021019809395, -79.4403971086838 43.68879795184688, -79.44136305434864 43.688576751771734, -79.4415711879015 43.68854242971621, -79.44165190542493 43.688522550754655, -79.44171464848885 43.68850298500198, -79.44180341851072 43.688458643957745, -79.44188720368223 43.6884141808881, -79.4419620614128 43.688380031656706, -79.44204098140337 43.68835576101791, -79.44231989548085 43.688310552886634)",1.0,107
325,842.0,Bude Street,Oakwood Avenue,Alameda Avenue,3.0,0.0,0.0,2006,"LINESTRING (-79.4389729842448 43.694775463589664, -79.44148543066379 43.69421096965819)",1.0,107
364,966.0,Winona Drive,Glenhurst Avenue,Falwyn Avenue,2.0,0.0,0.0,2004,"LINESTRING (-79.43358828904306 43.68253860872329, -79.43379603751092 43.683040065773376, -79.43380656577015 43.68307365961879, -79.43380771193979 43.6831044957943, -79.43379829008326 43.68313762727093, -79.43376242402717 43.683170504542915, -79.43370781828017 43.683197875789716, -79.43323939338234 43.683307689556116, -79.4332870383837 43.683359547828545, -79.43376227529471 43.68451573547545)",1.0,107
430,1136.0,Winnett Avenue,Hursting Avenue,Vaughan Road,4.0,0.0,0.0,2007,"LINESTRING (-79.43153564424861 43.68532818678711, -79.43190632826743 43.686278576180555, -79.43220581683575 43.68704641473328, -79.43282500047117 43.68858124970453, -79.43285761400948 43.688662083807195, -79.43297960534416 43.688964496049145)",0.9942406326337806,107
431,1138.0,Winona Drive,Hursting Avenue,Earlsdale Ave ue,2.0,0.0,0.0,2007,"LINESTRING (-79.4337571665843 43.68491980707396, -79.43391190165192 43.6853322989446, -79.43427712132245 43.686252829839255, -79.4344225560602 43.68663864998327)",1.0,107
442,1165.0,Holland Park Avenue,Lauder Avenue,Oakwood Avenue,4.0,0.0,0.0,2006,"LINESTRING (-79.43839653193969 43.686388420850186, -79.43855804766459 43.68640379951856, -79.43892806917123 43.68631951523969, -79.43990695551105 43.68609649615388, -79.44136445732344 43.68578599322577, -79.44252171241854 43.685551544078756)",1.0,107
467,1245.0,Atlas Avenue,Durham Avenue,Ava Road,4.0,0.0,0.0,2008,"LINESTRING (-79.43551753039439 43.692401709436226, -79.43556477042912 43.69252061336307, -79.43558945083161 43.69258462680854, -79.43562909992689 43.69263702290991, -79.43570615900839 43.69272436184494, -79.43576634795636 43.69278665511049, -79.43628987922202 43.69327115950193, -79.43635277697047 43.69334004435708, -79.43641039021996 43.69340409383273, -79.43645227987597 43.693473951876236, -79.4365443698648 43.69369792320462, -79.43716049423568 43.695256470711485)",1.0,107
542,1418.0,Winona Drive,Glenhurst Avenue/Dundurn Crescent,Dundurn Crescent (north intersection),2.0,0.0,0.0,2012,"LINESTRING (-79.43358828904306 43.68253860872329, -79.43379603751092 43.683040065773376, -79.43380656577015 43.68307365961879, -79.43380771193979 43.6831044957943, -79.43379829008326 43.68313762727093, -79.43376242402717 43.683170504542915, -79.43370781828017 43.683197875789716, -79.43323939338234 43.683307689556116)",1.0,107
577,1552.0,O'Leary Avenue,Glenholme Avenue,Oakwood Avenue,1.0,0.0,0.0,2015,"LINESTRING (-79.43820543540126 43.68592520545261, -79.43875264252982 43.685805417375576, -79.44121126812213 43.685267151005846)",1.0,107
686,1732.0,Barrie Ave,Winona Dr,Atlas Ave,2.0,0.0,0.0,1998,"LINESTRING (-79.43239187270484 43.68091325241185, -79.43239469066943 43.68102024731324, -79.43238058458981 43.68105799093801, -79.43235316204388 43.6811033869617, -79.43230400372833 43.68113196463854, -79.43224201214267 43.68115734827764, -79.43216204950797 43.68117108252851, -79.43210613737939 43.68118319259537, -79.4310116689032 43.6814118192639)",1.0,107
797,2127.0,Roseneath Gdns,Glenhurst Ave,Earlsdale Ave,5.0,,,2022,"LINESTRING (-79.43608537566716 43.68597908360836, -79.43461203965852 43.68231155621083)",1.0,107
1,3.0,Atlas Avenue,Gloucester Grove,Eglinton Avenue West,2.0,0.0,0.0,1999,"LINESTRING (-79.43774136338365 43.69668515551946, -79.43815687925827 43.697684558681026, -79.4383961635463 43.69826007102036)",0.004765925564913554,102
17,19.0,Elm Ridge Drive,Bathurst Street,W.R. Allen Road,10.0,0.0,0.0,1999,"MULTILINESTRING ((-79.43262770545203 43.7037852601115, -79.4325585393035 43.703817221157486, -79.43248173815589 43.70386642800797, -79.43239864264592 43.70393620346182, -79.43232444177443 43.703995638278315, -79.43228970170868 43.70405481279488, -79.43225451849013 43.70411289175107, -79.43224497602839 43.70415334149928, -79.43224298494398 43.70419214803734, -79.43224311616886 43.704228093423914, -79.43226275042731 43.70426335182995, -79.4322854888051 43.70432190988174, -79.43232420586253 43.70436737925517, -79.4323783149108 43.70440227298325, -79.43240848619149 43.70442323357679, -79.432446209145 43.70444254194009, -79.43249429134582 43.70445437501669, -79.43258531957112 43.70447558466029, -79.43269604477025 43.70448008288618, -79.43279871493057 43.70447315268179, -79.43292734898701 43.704453342522946, -79.43302856289449 43.70443321943961, -79.433127894323 43.70440817234345, -79.43320263425137 43.704373793258505, -79.43328278025197 43.70432863850097, -79.43333481644514 43.704287258307204, -79.43336949548457 43.70425567060187, -79.43339987089762 43.70420584503227, -79.4334389009276 43.70416491684744, -79.43346394578482 43.70412295966454, -79.43348029277963 43.70406231724885, -79.43347471884623 43.70402517179938, -79.43346200058437 43.70397879849955), (-79.42635167616119 43.7052082200897, -79.42642032943084 43.70524781877014, -79.42649455956358 43.705279660768085, -79.42657513818129 43.7053012896228, -79.42665811500844 43.70531996212799, -79.42674157574915 43.70533864123193, -79.4268256614668 43.70535620338674, -79.42691263583602 43.70535916488073, -79.42699821937076 43.70534600819624, -79.42708325638951 43.7053338163501, -79.4271672858364 43.70531790997575, -79.4272510042464 43.70530108086276, -79.42733445930537 43.70528387890581, -79.42741814181522 43.70526699515291, -79.42750181257837 43.705250084165286, -79.42758545965826 43.70523312777106, -79.42766909475613 43.70521615314288, -79.42775274221505 43.70519917862333, -79.42789708459847 43.70517014505952, -79.42966410528318 43.70478755154345, -79.42979759561966 43.704771476202474, -79.42991674881252 43.704764531860015, -79.43001048895465 43.70475597787633, -79.43038583540233 43.70469886053888, -79.43065845065172 43.704636685304884, -79.43103202296767 43.70454758663395, -79.43116487764476 43.70452205587483, -79.43226275042731 43.70426335182995), (-79.43346200058437 43.70397879849955, -79.43455798397754 43.70370369536397, -79.43571934703509 43.70344301810826, -79.43684803594333 43.70318708655706, -79.43696436895969 43.703159549381965, -79.43730767297849 43.70307829092527))",0.9999999999999998,102
46,48.0,Roselawn Avenue,Latimer Avenue,Rosewell Avenue,10.0,0.0,0.0,1999,"LINESTRING (-79.40467654922934 43.7098055387262, -79.40655781894684 43.70941551544375, -79.40765129116339 43.7091733651708, -79.40768728804332 43.709165772026076, -79.41041535673956 43.7085904616205, -79.4129218257182 43.708052293390985, -79.4139333849769 43.70784152182975, -79.41499111015322 43.70761277027462, -79.41620394506181 43.707375127968106, -79.41707898220245 43.70717322384608)",0.06857224058596872,102
81,98.0,Camberwell Road,Dewbourne Avenue,Eglinton Avenue West,1.0,0.0,0.0,1998,"MULTILINESTRING ((-79.42898402903207 43.69788291658582, -79.42917009004783 43.69835559439966, -79.42969998056904 43.69965570918755), (-79.42971334705871 43.699688504936546, -79.42974733459722 43.699771906758144, -79.42988233303967 43.70007922745284))",0.0048553087285926185,102
83,101.0,Chiltern Hill Road,Dewbourne Avenue,Eglinton Avenue West,1.0,0.0,0.0,1998,"LINESTRING (-79.426859608697 43.69834634544478, -79.42731350801732 43.69951075412357, -79.42756535147797 43.70011295111981, -79.4277451988953 43.70054300214488)",0.004404055564964605,102
85,106.0,Flanders Road,Eglinton Avenue West,Dewbourne Avenue,1.0,0.0,0.0,1998,"LINESTRING (-79.43293455664946 43.69705158809049, -79.43363941385401 43.69882850818301, -79.43380612781165 43.699248789711255)",0.004828815892312719,102
86,107.0,Glen Cedar Road,Eglinton Avenue West,Dewbourne Avenue,1.0,0.0,0.0,1998,"LINESTRING (-79.43000470204973 43.697670335502515, -79.43072551542154 43.6994676341549, -79.43088591524541 43.69986757441235)",0.004851091100895226,102
88,113.0,Menin Road,Eglinton Avenue West,Dewbourne Avenue,2.0,0.0,0.0,1998,"LINESTRING (-79.43099921652723 43.69746221240259, -79.43171435317267 43.69925743714247, -79.4318748563502 43.69966031272535)",0.004829443361371039,102
90,115.0,Peveril Hill North,Eglinton Avenue West,Dewbourne Avenue,1.0,0.0,0.0,1998,"LINESTRING (-79.42578198996311 43.6985684057735, -79.4262972911123 43.699877942503235, -79.42642995577293 43.7002007668721, -79.42649032699717 43.70034764117521, -79.42666588606608 43.70077483463899)",0.004914373386735847,102
91,116.0,Rostrevor Road,Eglinton Avenue West,Dewbourne Avenue,1.0,0.0,0.0,1998,"LINESTRING (-79.42792958033858 43.69812551136554, -79.42863826827353 43.699885470106594, -79.42881044319181 43.700313055003946)",0.00485041907624986,102
94,119.0,Strathearn Road,Eglinton Avenue West,Gloucester Grove,1.0,0.0,0.0,1998,"LINESTRING (-79.43412983395444 43.6974719613539, -79.43460431404482 43.69861414049273, -79.4347834105043 43.699045259790935)",0.006734556727670757,102
95,121.0,Westover Hill Rd,Dewbourne Avenue,Eglinton Avenue West,1.0,0.0,0.0,1998,"LINESTRING (-79.43195032571782 43.6972646681978, -79.4326837675523 43.69905086398302, -79.43284788448743 43.6994505373469)",0.004470466542254403,102
97,124.0,Chiltern Hill Road,Dewbourne Avenue,Eglinton Avenue West,1.0,0.0,0.0,1999,"LINESTRING (-79.426859608697 43.69834634544478, -79.42731350801732 43.69951075412357, -79.42756535147797 43.70011295111981, -79.4277451988953 43.70054300214488)",0.004404055564964605,102
98,126.0,Westover Hill Road,Dewbourne Avenue,Eglinton Avenue West,1.0,0.0,0.0,1999,"LINESTRING (-79.43195032571782 43.6972646681978, -79.4326837675523 43.69905086398302, -79.43284788448743 43.6994505373469)",0.004470466542254403,102
135,165.0,Old Forest Hill Road,Eglinton Avenue West,Hilltop Road,6.0,0.0,0.0,2000,"LINESTRING (-79.42311947052748 43.70152455101296, -79.42316275121223 43.701637102523705, -79.42318826701319 43.70169111771751, -79.42322657113407 43.701758662068094, -79.42326952325304 43.70182169652134, -79.42331831435177 43.7018712335901, -79.42337524022652 43.70192528572747, -79.42343837154264 43.70197933336738, -79.4234786679077 43.702006360513025, -79.42354722865463 43.702055917979095, -79.42364061640123 43.70210098261779, -79.42375221625225 43.70215056611935, -79.42386500111174 43.702177647078955, -79.42396036205106 43.702195708931825, -79.42407238383556 43.70221828621852, -79.42526358075916 43.7024350993927, -79.42528799832114 43.702439613519346, -79.42538684136755 43.702462179075184, -79.42547172270521 43.70248474135127, -79.4255442058654 43.702498290992686, -79.42560857231865 43.702502832957855, -79.42570202181092 43.70249389133304, -79.42595687440634 43.702526095748, -79.42625244111466 43.70254283307519, -79.42658593553352 43.70254766621443, -79.42678782862633 43.70254536628377, -79.42701610703999 43.7025192985459, -79.42726581857482 43.70248134290312, -79.42753436336449 43.70242127103457, -79.4278179136945 43.702373488121125, -79.42827733728998 43.70227277538465)",1.0,102
140,170.0,St. Clements Avenue,Avenue Road,Caldow Road,10.0,0.0,0.0,2000,"LINESTRING (-79.41111192688471 43.71034626031051, -79.41281163842017 43.7099965051983, -79.41558964659676 43.709413480969815, -79.41700926971791 43.70911746930642, -79.418683719592 43.70875860612501, -79.42093023326525 43.708287598967786)",0.3971108999747392,102
375,983.0,Shallmar Boulevard,Bathurst Street,Mayfair Avenue,2.0,0.0,0.0,2005,"LINESTRING (-79.42264815351746 43.70386009125794, -79.42268651465686 43.703887118988106, -79.42280820072192 43.70393220554082, -79.42299735113119 43.70397734016622, -79.42324738854074 43.70402251285481, -79.42352027431019 43.70407670682568, -79.42385404148169 43.70413543106834, -79.42419943792308 43.70419417055926, -79.42448283057868 43.70422586222949, -79.42472940072277 43.70424852815967, -79.42528573110775 43.70429839337243, -79.4256459215603 43.70431213265937, -79.42593128784449 43.7043168091926, -79.42612944839695 43.70428993241228)",1.0,102
376,984.0,Mayfair Avenue,Eglinton Avenue West,Shallmar Boulevard,2.0,0.0,0.0,2005,"LINESTRING (-79.42207195904876 43.7017533841517, -79.42238726035565 43.70291027127704, -79.42260828463509 43.70381055996601, -79.42262066414214 43.70383306944771, -79.42264815351746 43.70386009125794)",1.0,102
428,1134.0,Fairleigh Crescent,Eglinton Avenue West,Park Hill Road,6.0,0.0,0.0,2007,"LINESTRING (-79.43830403060122 43.69829226212679, -79.43839063103066 43.698504973959196, -79.43844647872719 43.69864215504902, -79.43902242599084 43.70005672829176, -79.43905532634787 43.700163423639324, -79.43906034120363 43.70021507551713, -79.4390604190843 43.700278608182046, -79.43908237451572 43.70037091890515, -79.43916986916173 43.70056514825461, -79.43947455341096 43.70131246312, -79.43948638102104 43.7014082010628, -79.43945875787664 43.70146461169131, -79.43941309356175 43.70150939511575, -79.43933899698386 43.70155322316925, -79.43924763890739 43.701591251120426, -79.43904257641127 43.70163743287243, -79.43827225758265 43.70178360821234)",1.0,102
446,1182.0,Vesta Drive,Bathurst Street,Mayfair Avenue,3.0,0.0,0.0,2007,"LINESTRING (-79.42238726035565 43.70291027127704, -79.4225624517285 43.70295989603821, -79.42296131055286 43.70304117534798, -79.42332568164964 43.703113432960386, -79.42366331521004 43.70317216606298, -79.42411066480281 43.70324446673862, -79.42459913683275 43.70329430032466, -79.42507171821434 43.70333960905909, -79.42549160986063 43.70335338787195, -79.42576378503311 43.70335356128126, -79.42589057095546 43.70335364122964)",1.0,102
449,1186.0,Park Hill Road,Eglinton Avenue West,Fairleigh Crescent,5.0,0.0,0.0,2007,"MULTILINESTRING ((-79.43727296661076 43.6985052345477, -79.43742212196231 43.698865205745, -79.43808386008891 43.70046215083285), (-79.43774455440408 43.700532463532504, -79.43788392221624 43.70089878309056, -79.43800765760521 43.70120376134381, -79.43812132325365 43.70148457945579, -79.43823093209856 43.70168835860126, -79.43827225758265 43.70178360821234))",1.0,102
476,1264.0,Livingstone Avenue,Marlee Avenue,Times Road,3.0,0.0,0.0,2008,"LINESTRING (-79.43969349670787 43.69884478680162, -79.44248447657863 43.698244509124386, -79.44438509510701 43.697834712423955, -79.44450987318925 43.69779773827465, -79.44466257543446 43.6977486464263)",0.004965704569714347,102
567,1539.0,Roselawn Avenue,Latimer Avenue,Caldow Road,3.0,0.0,0.0,2013,"LINESTRING (-79.41707898220245 43.70717322384608, -79.41795513403291 43.70700282406525, -79.42037031879647 43.70648693614243)",1.0,102
575,1550.0,Old Forest Hill Road,Hilltop Road,Glenarden Road,5.0,0.0,0.0,2013,"LINESTRING (-79.42827733728998 43.70227277538465, -79.43168393148397 43.70153065123559, -79.4334499950566 43.701169766083915)",1.0,102
594,1585.0,Castlefield Avenue,Castlewood Road,Caldow Road,3.0,0.0,0.0,2014,"LINESTRING (-79.41665298399832 43.70821257831671, -79.41696406058985 43.70814079408695, -79.4178099804637 43.70797036402681, -79.4187121313642 43.70779998512534, -79.41945953136944 43.70764748450904, -79.42026471542478 43.70748601720983, -79.42070880959433 43.707396315097164)",0.9938768107418327,102
607,1601.0,Wembley Road,Hilltop Road,Old Park Road,4.0,0.0,0.0,2016,"LINESTRING (-79.42794133282554 43.70143400678971, -79.42844122860582 43.70131961467974, -79.43021440004566 43.700956023024546, -79.43135653669154 43.700700798447535)",1.0,102
611,1618.0,Rostrevor Rd,Eglinton Ave W,Dewbourne Ave,1.0,0.0,0.0,1998,"LINESTRING (-79.42881044164062 43.7003130502336, -79.42863826373177 43.6998854689724, -79.42792958646935 43.69812551298408)",0.004848288178859659,102
617,1628.0,Westover Hill Rd,Dewbourne Ave,Eglinton Ave W,1.0,0.0,0.0,1998,"LINESTRING (-79.43284788362992 43.699450533710596, -79.43268376265323 43.699050858407354, -79.43195033038815 43.6972646646647)",0.0044688699266776,102
711,1775.0,Ridge Hill Dr,Old Park Rd,Hilltop Rd,4.0,0.0,0.0,1998,"LINESTRING (-79.43203606081029 43.70234070482697, -79.43037385566441 43.702701570487655, -79.4286176155135 43.70307822330749)",1.0,102
714,1782.0,Glenarden Rd,Ridge Hill Dr,Aldburn Rd,2.0,0.0,0.0,1998,"LINESTRING (-79.43379290546879 43.70197344221763, -79.43406599361221 43.702656945953684, -79.43413094961538 43.702721828805466)",1.0,102
715,1783.0,Aldburn Rd,Fairleigh Cres,Glenarden Rd,3.0,0.0,0.0,1998,"LINESTRING (-79.43748762587465 43.70199047601885, -79.4372152533902 43.7020662010837, -79.43691561432895 43.7021494987885, -79.43672214582139 43.70217994378649, -79.43658054099497 43.70221985032786, -79.43643431923982 43.702261050353925, -79.43579755522471 43.702415090178185, -79.43475464679295 43.70263540916279, -79.43438380911265 43.70271913711053, -79.43422311363712 43.70274118018762, -79.43413094961538 43.702721828805466)",1.0,102
716,1784.0,Old Park Road,Elm Ridge Circle,Ridge Hill Drive,4.0,0.0,0.0,2018,"LINESTRING (-79.43204783071555 43.702347011652904, -79.43236834861004 43.70314839526055, -79.43257074585865 43.703666646826136)",1.0,102
2,4.0,Balliol Street,Mt. Pleasant Road,Cleveland Street,2.0,0.0,0.0,1998,"LINESTRING (-79.38631307026625 43.699410297544155, -79.38182514419275 43.70035992041421, -79.38023956820304 43.70068233481751, -79.37856473178053 43.70103613642846, -79.3776051182197 43.70124214588139)",1.0,99
28,30.0,Hillsdale Avenue East,Mt. Pleasant Road,Yonge Street,7.0,0.0,1.0,2022,"LINESTRING (-79.397664417967 43.70341306095081, -79.3916450882653 43.70465423796388, -79.391515181029 43.70466311599545, -79.38891406538472 43.70519622156772)",0.002793968683221019,99
32,34.0,Manor Road East,Mt. Pleasant Road,Yonge Street,8.0,0.0,0.0,1999,"LINESTRING (-79.39748559743062 43.7025284335176, -79.39741162217071 43.70252268755972, -79.39732319057774 43.702528056806344, -79.3969217272833 43.702611269798936, -79.39456315357653 43.703099716106344, -79.39403604890822 43.70320620341409, -79.39343215285344 43.70332820340287, -79.39230540033049 43.703556694199435, -79.39123873504947 43.70378972899888, -79.39069536770931 43.70387922477172, -79.3896279389107 43.704103238859574, -79.38855121722607 43.70430923023183)",0.002753209986302971,99
36,38.0,Merton Street,Bayview Avenue,Mt. Pleasant Road,14.0,0.0,0.0,1999,"LINESTRING (-79.38645879545207 43.69819075860736, -79.37789178755354 43.6999891701396, -79.37715642893534 43.70014350568598, -79.37335560970403 43.70095850224032)",0.9981660290759126,99
45,47.0,Roehampton Avenue,Cardiff Road,Mt. Pleasant Road,6.0,0.0,0.0,1999,"LINESTRING (-79.39860805701034 43.70800217039768, -79.39327464925087 43.70908861745209, -79.39063783728072 43.70963224474023, -79.38834752504836 43.710084993825284, -79.38806898982429 43.71014134802589, -79.38366837253092 43.711038833562455)",0.4678954414375322,99
51,53.0,Soudan Avenue,Mount Pleasant Road,Yonge Street,5.0,0.0,0.0,1999,"MULTILINESTRING ((-79.39783265187165 43.70436735584794, -79.3967816309393 43.70458549005941), (-79.39593248004306 43.70476170671451, -79.39457143498946 43.705035013136374, -79.39323910118536 43.70529932476317, -79.39188268197778 43.705581604968046, -79.39059416165618 43.705832419862595, -79.38927263217057 43.70610120412192))",0.0031653919003286233,99
122,151.0,Soudan Avenue,Mt. Pleasant Road,Bayview Avenue,10.0,0.0,0.0,2001,"LINESTRING (-79.38927263217057 43.70610120412192, -79.38794023183948 43.70636995483873, -79.38660824392764 43.70662518996612, -79.3852828083278 43.706893917876016, -79.38399534610963 43.70717166680908, -79.38266020985029 43.70742684732888, -79.38134480882907 43.70770003829946, -79.38002671577793 43.707955213188356, -79.37870430733716 43.708232866383455, -79.37744668543756 43.7084880766472, -79.3763190002808 43.70872090704714)",0.9981573822405327,99
178,217.0,Manor Road East,Bayview Avenue,Mt. Pleasant Road,10.0,0.0,0.0,2000,"LINESTRING (-79.38855121722607 43.70430923023183, -79.38795832846964 43.7044364705881, -79.38736118094401 43.70456461120584, -79.38623168723893 43.70478853737996, -79.3847530574302 43.70509311122359, -79.3825141515445 43.705554420544345, -79.3820283543524 43.70564996578454, -79.3813532014026 43.70578276046421, -79.38019454758361 43.706024599924625, -79.37904480560945 43.70626192596403, -79.37788849035437 43.70648123840478, -79.37675347243784 43.70671406822425, -79.37612548308171 43.70684920331843, -79.37562968346364 43.70695589711125)",0.9981357389481985,99
179,218.0,Millwood Road,Acacia Road,Mt. Pleasant Road,3.0,0.0,0.0,2001,"LINESTRING (-79.38988606768811 43.70115554042001, -79.38747510535248 43.70166178574943)",0.010158619332622474,99
263,695.0,Hillsdale Avenue East,Mt. Pleasant Road,Forman Avenue,4.0,0.0,0.0,2002,"LINESTRING (-79.38891406538472 43.70519622156772, -79.38650065970661 43.70568443956909, -79.38499953849899 43.70597999234424)",1.0,99
264,696.0,Millwood  Road,Cleveland Street,Bayview Avenue,3.0,0.0,0.0,2003,"LINESTRING (-79.37800634944104 43.703591931547, -79.37689234276243 43.703815778004056, -79.37576086926217 43.70404409247094, -79.37512855657836 43.704175289079956, -79.3745956258472 43.70428587163521)",0.9929568035151143,99
